season,team,pitcher,count
2016,BPH,merriry01,21
2017,BPH,montera01,20
2018,BPH,bendean01,20
2019,BPH,quintjo01,21
2021,BPH,merriry01,19
2022,BPH,syndeno01,20
2023,BPH,syndeno01,21
2016,DPS,couloda01,22
2017,DPS,campbpa02,21
2018,DPS,cottojh01,20
2019,DPS,cottojh01,22
2021,DPS,garream01,18
2022,DPS,allarko01,20
2023,DPS,biagijo01,19
2016,ECN,milonto01,21
2017,ECN,wislema01,19
2018,ECN,buehlwa01,22
2019,ECN,buehlwa01,22
2021,ECN,shephch01,20
2022,ECN,shephch01,19
2023,ECN,avilape01,18
2016,FBW,johnsji04,21
2017,FBW,detmere01,19
2018,FBW,johnsji04,22
2019,FBW,winanal01,23
2021,FBW,bettial01,14
2022,FBW,hellije01,18
2023,FBW,hendrky01,16
2016,GKO,meisiry01,22
2017,GKO,hatchto01,18
2018,GKO,hatchto01,21
2019,GKO,wrighmi01,24
2021,GKO,wrighmi01,22
2022,GKO,hatchto01,20
2023,GKO,gearrco01,21
2016,GLO,briesbe01,22
2017,GLO,briesbe01,22
2018,GLO,diazjh01,20
2019,GLO,diazjh01,22
2021,GLO,nelsoji02,20
2022,GLO,sborzjo01,19
2023,GLO,searsjp01,17
2016,GUT,iwakuhi01,21
2017,GUT,kellemi03,21
2018,GUT,fostema01,20
2019,GUT,hentgsa01,21
2021,GUT,hentgsa01,21
2022,GUT,raganco01,19
2023,GUT,lambeji01,22
2016,HAN,hanifbr01,22
2017,HAN,widenta01,22
2018,HAN,hanifbr01,21
2019,HAN,iveyty01,21
2021,HAN,iveyty01,20
2022,HAN,iveyty01,20
2023,HAN,lucchjo01,21
2016,HXK,effrosc01,20
2017,HXK,henryto01,19
2018,HXK,briesbe01,21
2019,HXK,briesbe01,21
2021,HXK,rodriya01,22
2022,HXK,briesbe01,19
2023,HXK,conlopj01,20
2016,JBM,taillja01,22
2017,JBM,garzama01,21
2018,JBM,liriafr01,22
2019,JBM,civalaa01,23
2021,JBM,civalaa01,21
2022,JBM,civalaa01,18
2023,JBM,rodriya01,20
2016,JEM,castehu01,20
2017,JEM,bellch02,19
2018,JEM,scholje01,17
2019,JEM,tropeni01,21
2021,JEM,bassich01,20
2022,JEM,bassich01,19
2023,JEM,marshal01,16
2016,KFH,adamsau02,22
2017,KFH,kendrky01,21
2018,KFH,waldike01,18
2019,KFH,ranauan01,26
2021,KFH,willitr01,17
2022,KFH,johnsji04,20
2023,KFH,castima03,20
2016,KJP,alexaty01,21
2017,KJP,garcilu05,20
2018,KJP,garcilu05,20
2019,KJP,garcilu05,22
2021,KJP,carraca01,21
2022,KJP,detmere01,20
2023,KJP,hanifbr01,19
2016,MOO,danieda01,21
2017,MOO,cobbal01,21
2018,MOO,bibenau01,21
2019,MOO,bibenau01,20
2021,MOO,bibenau01,21
2022,MOO,reyesal02,19
2023,MOO,carraca01,23
2016,MZG,wingetr01,22
2017,MZG,wingetr01,19
2018,MZG,danieda01,21
2019,MZG,battepe01,21
2021,MZG,battepe01,21
2022,MZG,battepe01,20
2023,MZG,wrighda04,21
2016,PDF,scottch01,21
2017,PDF,scottch01,20
2018,PDF,scottch01,21
2019,PDF,scottch01,23
2021,PDF,suarean01,21
2022,PDF,cruzfe01,19
2023,PDF,suarean01,20
2016,PJT,johnser04,20
2017,PJT,holmegr01,19
2018,PJT,kochaja01,22
2019,PJT,gonzagi01,21
2021,PJT,anderta01,20
2022,PJT,stammcr01,20
2023,PJT,stammcr01,22
2016,QDH,walstbl01,19
2017,QDH,livelbe01,19
2018,QDH,livelbe01,20
2019,QDH,henryto01,23
2021,QDH,jeffrje01,21
2022,QDH,feltnry01,19
2023,QDH,smeltde01,18
2016,QPO,phillco01,21
2017,QPO,flemijo01,20
2018,QPO,holmegr01,20
2019,QPO,nealza01,23
2021,QPO,dunnju01,20
2022,QPO,millebo06,21
2023,QPO,millebo06,20
2016,RAV,skogler01,20
2017,RAV,kerrra01,21
2018,RAV,schulja02,22
2019,RAV,kerrra01,20
2021,RAV,bolanro01,21
2022,RAV,jeffeda01,19
2023,RAV,jeffeda01,22
2016,RKN,rouppla01,20
2017,RKN,penniwa01,21
2018,RKN,montera01,21
2019,RKN,duplajo01,23
2021,RKN,fulmemi01,18
2022,RKN,corbipa01,20
2023,RKN,wolfja01,21
2016,RLJ,garrebr01,20
2017,RLJ,schrejo01,21
2018,RLJ,grayjo02,21
2019,RLJ,adamsch01,22
2021,RLJ,boshebu01,21
2022,RLJ,feldmsc01,20
2023,RLJ,bumgama01,17
2016,SAJ,carraca01,21
2017,SAJ,brubajt01,20
2018,SAJ,cuevawi01,20
2019,SAJ,kowarja01,20
2021,SAJ,mazurad01,19
2022,SAJ,danaca01,19
2023,SAJ,jeffrje01,22
2016,STC,bernabr01,22
2017,STC,dunnju01,22
2018,STC,antonte01,20
2019,STC,antonte01,18
2021,STC,verlaju01,21
2022,STC,woodtr01,21
2023,STC,crawfku01,21
2016,UPV,dicker.01,20
2017,UPV,arihako01,20
2018,UPV,ryanri01,20
2019,UPV,dicker.01,22
2021,UPV,phillty01,20
2022,UPV,arihako01,21
2023,UPV,phillty01,22
2016,VJV,davisau01,20
2017,VJV,godleza01,20
2018,VJV,hernajo02,20
2019,VJV,jarvibr01,15
2021,VJV,suarejo01,18
2022,VJV,morgael01,17
2023,VJV,morgael01,20
2016,VQC,dowdyky01,18
2017,VQC,gonzagi01,21
2018,VQC,rodried05,21
2019,VQC,hoeinbr01,20
2021,VQC,mcclare01,18
2022,VQC,johnser04,19
2023,VQC,asheral01,22
2016,XFB,iveyty01,21
2017,XFB,iveyty01,21
2018,XFB,iveyty01,22
2019,XFB,rodriya01,22
2021,XFB,robleha01,20
2022,XFB,nealza01,21
2023,XFB,wilkad01,21
2016,YHA,coveydy01,18
2017,YHA,kiliaca01,20
2018,YHA,kiliaca01,21
