season,team,pitcher,count
2016,BPH,diazyi01,18
2016,BPH,gagnodr01,1
2016,BPH,merriry01,21
2016,BPH,montera01,20
2016,BPH,richaly01,19
2016,BPH,smithaj01,21
2016,BPH,unknown,5
2017,BPH,bendean01,1
2017,BPH,diazyi01,18
2017,BPH,duplajo01,1
2017,BPH,howarsa01,19
2017,BPH,merriry01,18
2017,BPH,montera01,20
2017,BPH,smithaj01,16
2017,BPH,unknown,12
2018,BPH,bendean01,20
2018,BPH,crowewi01,1
2018,BPH,diazyi01,18
2018,BPH,gearrco01,1
2018,BPH,harriky01,1
2018,BPH,jimenub01,8
2018,BPH,merriry01,4
2018,BPH,quintjo01,17
2018,BPH,smithaj01,14
2018,BPH,syndeno01,20
2018,BPH,unknown,3
2019,BPH,harriky01,7
2019,BPH,holmecl01,2
2019,BPH,kochma01,18
2019,BPH,merriry01,19
2019,BPH,quintjo01,21
2019,BPH,smithaj01,13
2019,BPH,syndeno01,20
2019,BPH,unknown,7
2021,BPH,diazyi01,15
2021,BPH,ginnjt01,12
2021,BPH,harriky01,2
2021,BPH,hughebr01,6
2021,BPH,jimenub01,14
2021,BPH,leiteja01,2
2021,BPH,merriry01,19
2021,BPH,quintjo01,11
2021,BPH,syndeno01,1
2021,BPH,unknown,6
2021,BPH,wicksjo01,16
2022,BPH,ginnjt01,1
2022,BPH,kochma01,17
2022,BPH,martibr01,8
2022,BPH,merriry01,19
2022,BPH,quintjo01,3
2022,BPH,stratch01,10
2022,BPH,stromma01,1
2022,BPH,syndeno01,20
2022,BPH,unknown,4
2022,BPH,whitemi03,6
2022,BPH,winnke01,3
2022,BPH,zeuchtj01,10
2023,BPH,arihako01,19
2023,BPH,kochma01,1
2023,BPH,leiteja01,5
2023,BPH,merriry01,13
2023,BPH,quintjo01,17
2023,BPH,syndeno01,21
2023,BPH,unknown,9
2023,BPH,whitemi03,7
2023,BPH,zeuchtj01,15
2016,DPS,adlemti01,5
2016,DPS,armstsh01,12
2016,DPS,bivensp01,15
2016,DPS,campbpa02,4
2016,DPS,couloda01,22
2016,DPS,faedoal01,19
2016,DPS,garcija04,3
2016,DPS,holmegr01,13
2016,DPS,jamesdr01,2
2016,DPS,pilkiko01,1
2016,DPS,suareal01,4
2016,DPS,unknown,6
2017,DPS,adlemti01,10
2017,DPS,armstsh01,8
2017,DPS,bazsh01,1
2017,DPS,burrobe01,7
2017,DPS,campbpa02,21
2017,DPS,couloda01,19
2017,DPS,diazmi02,15
2017,DPS,faedoal01,11
2017,DPS,medlekr01,1
2017,DPS,unknown,9
2017,DPS,wachami01,3
2018,DPS,alexaty01,19
2018,DPS,cottojh01,20
2018,DPS,couloda01,9
2018,DPS,faedoal01,19
2018,DPS,garzaju01,11
2018,DPS,latosma01,1
2018,DPS,millesh01,12
2018,DPS,morgaad01,6
2018,DPS,oberba01,2
2018,DPS,unknown,4
2018,DPS,wachami01,6
2019,DPS,bergetr01,1
2019,DPS,cottojh01,22
2019,DPS,feddeer01,8
2019,DPS,fryja01,1
2019,DPS,godleza01,8
2019,DPS,howarsa01,21
2019,DPS,koehlto01,2
2019,DPS,martico01,1
2019,DPS,oberba01,11
2019,DPS,simonal01,12
2019,DPS,taillja01,2
2019,DPS,unknown,6
2019,DPS,valdece01,1
2019,DPS,wilsost02,9
2019,DPS,wojcias01,3
2021,DPS,allarko01,16
2021,DPS,bidoos01,1
2021,DPS,garream01,18
2021,DPS,martico01,3
2021,DPS,ollerad01,4
2021,DPS,rucindr01,18
2021,DPS,skubata01,7
2021,DPS,tsengje01,10
2021,DPS,unknown,9
2021,DPS,woodtr01,18
2022,DPS,allarko01,20
2022,DPS,bergmch01,14
2022,DPS,biagijo01,18
2022,DPS,couloda01,19
2022,DPS,duffyda01,1
2022,DPS,fiersmi01,6
2022,DPS,martico01,12
2022,DPS,nelsoni01,5
2022,DPS,roarkta01,1
2022,DPS,unknown,4
2022,DPS,valdece01,1
2023,DPS,allarko01,15
2023,DPS,biagijo01,19
2023,DPS,boshebu01,18
2023,DPS,couloda01,18
2023,DPS,garcilu05,6
2023,DPS,garciro03,6
2023,DPS,guerrja02,1
2023,DPS,suarejo01,17
2023,DPS,unknown,6
2016,ECN,anderco01,10
2016,ECN,barnema01,10
2016,ECN,brownbe02,5
2016,ECN,danisty01,5
2016,ECN,garcilu03,1
2016,ECN,harriho03,2
2016,ECN,hearnta01,4
2016,ECN,jacksan01,2
2016,ECN,kellemi03,18
2016,ECN,mejiahu01,7
2016,ECN,mikolmi01,12
2016,ECN,milonto01,21
2016,ECN,rayro02,2
2016,ECN,reaco01,1
2016,ECN,unknown,4
2017,ECN,brebbjo01,1
2017,ECN,buehlwa01,8
2017,ECN,chenwe02,5
2017,ECN,hearnta01,17
2017,ECN,hessda01,4
2017,ECN,jacksan01,2
2017,ECN,mejiahu01,1
2017,ECN,milonto01,4
2017,ECN,pelfrmi01,3
2017,ECN,reaco01,6
2017,ECN,surkaer01,12
2017,ECN,tylerky01,5
2017,ECN,unknown,7
2017,ECN,weathry01,11
2017,ECN,wislema01,19
2018,ECN,anderco01,10
2018,ECN,buehlwa01,22
2018,ECN,chenwe02,19
2018,ECN,mejiahu01,1
2018,ECN,milonto01,5
2018,ECN,reaco01,14
2018,ECN,shephch01,19
2018,ECN,unknown,4
2018,ECN,verlaju01,13
2019,ECN,anderco01,20
2019,ECN,becktr01,21
2019,ECN,buehlwa01,22
2019,ECN,dubinsh01,2
2019,ECN,scholje01,1
2019,ECN,shephch01,19
2019,ECN,unknown,1
2019,ECN,walstbl01,20
2021,ECN,buehlwa01,18
2021,ECN,chaveje01,4
2021,ECN,geedi01,10
2021,ECN,peacoma01,2
2021,ECN,reyesde02,10
2021,ECN,rodrich01,18
2021,ECN,shephch01,20
2021,ECN,unknown,8
2021,ECN,walstbl01,15
2022,ECN,avilape01,11
2022,ECN,blancro01,8
2022,ECN,buehlwa01,11
2022,ECN,cottojh01,10
2022,ECN,geedi01,7
2022,ECN,lowthza01,4
2022,ECN,reyesde02,1
