round,gamma,eval
1,0.01,0.027877992784519523
1,0.1,0.09585109872089215
1,1,0.49540833060019673
1,10,0.49540833060019673
1,100,0.49540833060019673
2,0.01,0.021154476877664807
2,0.1,0.33412594293210884
2,1,0.5063955395211546
2,10,0.5063955395211546
2,100,0.5063955395211546
3,0.01,0.022138406034765357
3,0.1,0.18284683502787802
3,1,0.5056575926533289
3,10,0.5056575926533289
3,100,0.5056575926533289
4,0.01,0.022630370613315853
4,0.1,0.08789767136766158
4,1,0.4954903246966218
4,10,0.4954903246966218
4,100,0.4954903246966218
5,0.01,0.025418169891767817
5,0.1,0.3153492948507707
5,1,0.5068875040997047
5,10,0.5068875040997047
5,100,0.5068875040997047
6,0.01,0.024434240734667156
6,0.1,0.20646113479829453
6,1,0.48392915710068873
6,10,0.027304034109544073
6,100,0.5054936044604789
7,0.01,0.028123975073794716
7,0.1,0.15800262381108565
7,1,0.4949983601180715
7,10,0.4949983601180715
7,100,0.4949983601180715
8,0.01,0.022630370613315853
8,0.1,0.2956707117087569
8,1,0.5063135454247294
8,10,0.5063135454247294
8,100,0.5063135454247294
9,0.01,0.0241062643489669
9,0.1,0.18038701213512642
9,1,0.5056575926533289
9,10,0.5056575926533289
9,100,0.5056575926533289
10,0.01,0.022876352902591046
10,0.1,0.0651033125614956
10,1,0.4952443424073467
10,10,0.4952443424073467
10,100,0.4952443424073467
11,0.01,0.02836995736306991
11,0.1,0.1166775992128567
11,1,0.4952443424073467
11,10,0.4952443424073467
11,100,0.4952443424073467
12,0.01,0.027714004591669394
12,0.1,0.2355690390291899
12,1,0.505821580846179
12,10,0.505821580846179
12,100,0.505821580846179
13,0.01,0.021482453263365064
13,0.1,0.11397179403082991
13,1,0.4949983601180715
13,10,0.4949983601180715
13,100,0.4949983601180715
14,0.01,0.01828468350278778
14,0.1,0.25278779927845196
14,1,0.5059855690390291
14,10,0.5059855690390291
14,100,0.5059855690390291
15,0.01,0.028943916038045248
15,0.1,0.19522794358806161
15,1,0.49557231879304686
15,10,0.49557231879304686
15,100,0.49557231879304686
16,0.01,0.020498524106264404
16,0.1,0.17874713020662514
16,1,0.5053296162676288
16,10,0.5054936044604789
16,100,0.49450639553952114
17,0.01,0.024844211216792367
17,0.1,0.21244670383732367
17,1,0.4959822892751722
17,10,0.4959822892751722
17,100,0.4959822892751722
18,0.01,0.02066251229911442
18,0.1,0.21917021974417839
18,1,0.5055755985569039
18,10,0.5055755985569039
18,100,0.5055755985569039
19,0.01,0.030993768448671855
19,0.1,0.14652345031157754
19,1,0.4952443424073467
19,10,0.4952443424073467
19,100,0.4952443424073467
20,0.01,0.021646441456215193
