Ut,Ein
0.9999999999999998,0.3775
0.9999999999999998,0.3775
1.0,0.38
0.9999999999999998,0.3465
1.0000000000000002,0.371
0.9999999999999998,0.3485
1.0,0.3535
0.9999999999999999,0.3515
0.9999999999999999,0.348
1.0,0.352
1.0,0.344
1.0,0.349
1.0,0.34
1.0,0.3335
1.0,0.342
1.0,0.334
1.0,0.3375
1.0,0.3385
0.9999999999999999,0.3325
1.0,0.3335
1.0,0.3285
1.0,0.333
1.0,0.328
1.0,0.337
1.0,0.326
1.0,0.322
1.0,0.3215
1.0,0.3145
1.0,0.3155
1.0,0.313
1.0,0.3145
1.0,0.314
0.9999999999999999,0.31
0.9999999999999999,0.306
1.0,0.3035
1.0,0.3015
0.9999999999999999,0.3005
1.0,0.305
1.0,0.3025
1.0,0.299
1.0,0.2985
1.0,0.2955
0.9999999999999999,0.2985
1.0,0.292
1.0,0.298
1.0,0.2815
1.0,0.292
1.0,0.2865
0.9999999999999998,0.287
1.0,0.2865
1.0,0.288
1.0,0.2825
1.0,0.2825
0.9999999999999999,0.28
1.0,0.286
0.9999999999999999,0.285
1.0000000000000002,0.285
1.0,0.282
1.0,0.2775
1.0,0.2795
1.0,0.274
1.0,0.281
1.0,0.2795
1.0,0.278
1.0,0.269
1.0,0.2715
1.0,0.2655
0.9999999999999999,0.266
0.9999999999999999,0.262
1.0,0.264
0.9999999999999999,0.2655
1.0,0.274
1.0,0.261
1.0,0.263
1.0,0.264
1.0,0.262
1.0,0.264
1.0,0.2595
1.0,0.2555
1.0,0.2565
1.0,0.258
1.0,0.2575
1.0,0.2545
1.0,0.2555
1.0,0.2515
1.0,0.256
1.0,0.2595
1.0,0.2575
1.0,0.264
1.0,0.2605
1.0,0.265
1.0,0.256
1.0,0.255
1.0,0.2545
1.0000000000000002,0.2565
1.0,0.249
1.0,0.249
1.0,0.2485
1.0,0.2515
0.9999999999999999,0.2475
1.0,0.247
1.0000000000000002,0.248
1.0,0.249
1.0,0.2485
1.0,0.2395
1.0,0.247
1.0,0.2385
1.0,0.235
0.9999999999999998,0.2355
1.0,0.2345
1.0,0.23
1.0,0.2315
1.0,0.227
1.0,0.232
1.0,0.23
1.0,0.233
1.0,0.2325
1.0,0.2305
0.9999999999999999,0.233
1.0,0.233
1.0,0.2245
1.0,0.2335
1.0,0.2275
1.0,0.2315
1.0,0.2245
1.0,0.2325
1.0,0.233
1.0,0.2215
1.0,0.226
1.0,0.2195
1.0,0.223
1.0,0.221
1.0,0.224
0.9999999999999999,0.2285
1.0,0.2185
1.0,0.225
1.0,0.2175
1.0,0.2205
1.0,0.2165
0.9999999999999999,0.2145
1.0,0.212
1.0,0.2135
0.9999999999999999,0.207
1.0,0.216
1.0,0.2045
1.0,0.213
1.0,0.203
1.0,0.206
0.9999999999999998,0.2025
1.0,0.209
1.0,0.2045
0.9999999999999999,0.206
1.0,0.198
1.0,0.2075
0.9999999999999998,0.2025
1.0000000000000002,0.2145
1.0,0.205
0.9999999999999999,0.208
1.0,0.206
1.0,0.2065
1.0,0.206
1.0,0.2035
1.0,0.204
1.0,0.2045
0.9999999999999999,0.2
1.0,0.2075
1.0,0.2
0.9999999999999999,0.2025
1.0,0.199
1.0,0.1975
1.0,0.204
1.0,0.2015
0.9999999999999998,0.1915
1.0,0.1955
0.9999999999999999,0.1955
1.0,0.1985
1.0,0.197
1.0,0.198
1.0,0.1955
1.0,0.199
1.0,0.199
1.0,0.1925
1.0,0.1955
1.0,0.1895
0.9999999999999999,0.1945
1.0,0.184
1.0,0.194
0.9999999999999999,0.1855
1.0,0.1925
1.0,0.181
1.0,0.1865
1.0,0.1885
1.0,0.1915
1.0,0.188
0.9999999999999999,0.1905
1.0,0.1905
1.0,0.193
1.0,0.194
1.0,0.1925
1.0,0.1905
0.9999999999999998,0.1905
1.0,0.189
1.0,0.19
1.0,0.1855
1.0,0.1865
1.0,0.1865
1.0,0.1865
1.0,0.184
1.0,0.1865
1.0000000000000002,0.179
1.0,0.1845
1.0000000000000002,0.178
1.0000000000000002,0.19
0.9999999999999998,0.1845
1.0,0.1825
0.9999999999999999,0.182
0.9999999999999999,0.1805
1.0,0.179
1.0000000000000002,0.1795
1.0,0.179
1.0,0.1815
1.0,0.1855
1.0,0.185
1.0,0.184
1.0,0.1835
1.0,0.1825
1.0,0.1855
1.0,0.1805
1.0,0.1845
1.0,0.181
1.0,0.1795
1.0,0.1805
0.9999999999999999,0.174
1.0,0.18
1.0,0.1785
0.9999999999999999,0.1815
1.0,0.1745
1.0,0.1795
0.9999999999999999,0.1725
0.9999999999999999,0.1775
1.0,0.177
1.0,0.1815
0.9999999999999999,0.183
1.0,0.1765
1.0,0.1825
1.0,0.1795
1.0,0.1725
1.0,0.1775
1.0,0.1715
1.0,0.1785
1.0,0.174
0.9999999999999999,0.182
1.0,0.17
1.0,0.178
0.9999999999999999,0.1675
